code,name,market,ticker,as_of,beta60,alpha60,er60,beta120,alpha120,er120,beta240,alpha240,er240
3713,新晶投資控股股份有限公司,OTC,3713.TWO,2026-08-26,0.1579,-0.264,-0.0427,0.2962,-0.5589,0.2304,0.3324,-0.4132,0.1883
4102,永日化學工業股份有限公司,OTC,4102.TWO,2026-08-26,0.1211,0.6214,-0.0292,0.0819,-0.1375,0.0746,0.1071,-0.1736,0.0708
4105,台灣東洋藥品工業股份有限公司,OTC,4105.TWO,2026-08-26,0.0326,0.2727,0.0031,0.0717,-0.0514,0.0671,0.0938,0.0361,0.0639
4107,邦特生物科技股份有限公司,OTC,4107.TWO,2026-08-26,0.1112,0.2486,-0.0256,0.1277,-0.0653,0.1079,0.1717,-0.0612,0.1045
4109,加捷生醫股份有限公司,OTC,4109.TWO,2026-08-26,0.2841,0.1073,-0.0888,0.2369,-0.4406,0.1873,0.2695,-0.5082,0.1555
4111,濟生醫藥生技股份有限公司,OTC,4111.TWO,2026-08-26,0.0599,0.0457,-0.0069,0.0909,-0.0226,0.0811,0.0996,-0.0915,0.0669
4113,聯上實業股份有限公司,OTC,4113.TWO,2026-08-26,0.1308,0.2462,-0.0328,0.1993,-0.5787,0.1599,0.2051,-0.4192,0.1219
4114,健喬信元醫藥生技股份有限公司,OTC,4114.TWO,2026-08-26,0.1054,0.4639,-0.0235,0.126,0.062,0.1066,0.156,-0.1401,0.0963
4116,明基三豐醫療器材股份有限公司,OTC,4116.TWO,2026-08-26,0.2056,0.5307,-0.0601,0.1971,-0.0603,0.1583,0.2011,-0.1118,0.1198
4120,友華生技醫藥股份有限公司,OTC,4120.TWO,2026-08-26,0.0258,0.7228,0.0056,0.1083,0.3079,0.0938,0.1236,0.0071,0.0794
4121,優盛醫學科技股份有限公司,OTC,4121.TWO,2026-08-26,0.195,-0.2366,-0.0562,0.1498,-0.8246,0.1239,0.2086,-0.2128,0.1237
4123,晟德大藥廠股份有限公司,OTC,4123.TWO,2026-08-26,0.1067,-0.2365,-0.024,0.1843,-0.7755,0.149,0.1627,-0.0145,0.0998
4126,太平洋醫材股份有限公司,OTC,4126.TWO,2026-08-26,0.06,0.1828,-0.0069,0.0679,0.0008,0.0644,0.0499,-0.1225,0.041
4127,天良生物科技企業股份有限公司,OTC,4127.TWO,2026-08-26,0.2458,1.2855,-0.0748,0.3146,1.8479,0.2438,0.2704,0.9635,0.156
4128,中天生物科技股份有限公司,OTC,4128.TWO,2026-08-26,0.2821,0.3843,-0.0881,0.2912,-0.3756,0.2268,0.3271,-0.649,0.1855
4129,聯合骨科器材股份有限公司,OTC,4129.TWO,2026-08-26,0.1514,-0.0106,-0.0403,0.1745,-0.4586,0.1419,0.1909,-0.3449,0.1145
4131,浩泰精準股份有限公司,OTC,4131.TWO,2026-08-26,0.0129,0.0326,0.0103,-0.0133,-0.2033,0.0053,0.0254,-0.0183,0.0282
4138,曜亞國際股份有限公司,OTC,4138.TWO,2026-08-26,0.0616,0.1322,-0.0075,0.0677,-0.1207,0.0642,0.0807,-0.2693,0.0571
4139,馬光保健控股股份有限公司,OTC,4139.TWO,2026-08-26,0.2307,2.3906,-0.0693,0.1291,1.0062,0.1089,0.1333,0.3607,0.0845
4147,中裕新藥股份有限公司,OTC,4147.TWO,2026-08-26,0.348,1.171,-0.1121,0.3895,0.3513,0.2982,0.3621,-0.3339,0.2038
4153,鈺緯科技開發股份有限公司,OTC,4153.TWO,2026-08-26,0.0303,0.5103,0.0039,0.0526,0.0852,0.0533,0.0551,-0.126,0.0437
4154,樂威科股份有限公司,OTC,4154.TWO,2026-08-26,0.2097,-0.1508,-0.0616,0.2398,0.1531,0.1894,0.2031,-0.4089,0.1209
4157,太景醫藥研發控股股份有限公司,OTC,4157.TWO,2026-08-26,0.4304,0.2218,-0.1422,0.4077,-0.7654,0.3115,0.4153,-0.215,0.2315
4160,訊聯基因數位股份有限公司,OTC,4160.TWO,2026-08-26,0.0639,0.0426,-0.0083,0.1124,-0.4551,0.0967,0.2199,-0.3492,0.1296
4161,聿新生物科技股份有限公司,OTC,4161.TWO,2026-08-26,0.0738,0.1885,-0.012,0.0957,-0.1733,0.0846,0.1359,-0.1965,0.0858
4162,智擎生技製藥股份有限公司,OTC,4162.TWO,2026-08-26,0.2865,0.7104,-0.0897,0.2789,-0.1656,0.2178,0.2992,-0.2153,0.171
4163,鐿鈦科技股份有限公司,OTC,4163.TWO,2026-08-26,0.261,0.9089,-0.0804,0.1874,0.6464,0.1513,0.1514,0.3162,0.0939
4166,友霖生技醫藥股份有限公司,OTC,4166.TWO,2026-08-26,-0.1217,0.1962,0.0595,0.0961,0.0312,0.0849,0.1613,-0.0255,0.0991
4167,松瑞製藥股份有限公司,OTC,4167.TWO,2026-08-26,0.3015,0.6699,-0.0951,0.235,0.37,0.1859,0.2919,0.0781,0.1672
4168,台灣醣聯生技醫藥股份有限公司,OTC,4168.TWO,2026-08-26,0.2464,-0.4404,-0.075,0.2259,-0.2539,0.1793,0.2183,-0.0928,0.1288
4171,瑞基海洋生物科技股份有限公司,OTC,4171.TWO,2026-08-26,0.012,-0.0452,0.0106,0.0996,-0.1564,0.0874,0.1436,-0.1157,0.0899
4173,久裕企業股份有限公司,OTC,4173.TWO,2026-08-26,0.1409,-0.0733,-0.0365,0.1288,-0.4006,0.1087,0.1661,-0.3413,0.1016
4174,台灣浩鼎生技股份有限公司,OTC,4174.TWO,2026-08-26,0.3908,-0.0525,-0.1278,0.3623,-0.953,0.2785,0.2924,-0.9901,0.1674
4175,杏一醫療用品股份有限公司,OTC,4175.TWO,2026-08-26,0.1004,0.0684,-0.0217,0.0971,-0.0888,0.0856,0.1169,-0.1851,0.0759
4183,福永生物科技股份有限公司,OTC,4183.TWO,2026-08-26,0.1782,0.3795,-0.0501,0.1587,-0.381,0.1304,0.1368,-0.3698,0.0863
4188,安克生醫股份有限公司,OTC,4188.TWO,2026-08-26,0.3377,1.4044,-0.1084,0.2278,0.1085,0.1807,0.2872,-0.128,0.1647
4192,杏國新藥股份有限公司,OTC,4192.TWO,2026-08-26,0.1348,0.1195,-0.0342,0.0841,-0.0387,0.0762,0.0722,-0.3241,0.0526
4198,欣大健康投資控股股份有限公司,OTC,4198.TWO,2026-08-26,0.3167,0.5068,-0.1007,0.2995,0.0485,0.2328,0.3194,-0.0439,0.1815
4205,中華食品實業股份有限公司,OTC,4205.TWO,2026-08-26,0.0556,0.0832,-0.0053,0.0586,-0.144,0.0576,0.0767,-0.2421,0.055
4207,環泰企業股份有限公司,OTC,4207.TWO,2026-08-26,0.1598,0.2647,-0.0434,0.145,0.1139,0.1204,0.1646,0.1303,0.1008
4303,信立化學工業股份有限公司,OTC,4303.TWO,2026-08-26,0.6514,0.8124,-0.223,0.5623,-0.2166,0.4239,0.5868,-0.4804,0.3209
4304,勝昱科技股份有限公司,OTC,4304.TWO,2026-08-26,0.1062,0.1575,-0.0238,0.2377,-0.3264,0.1879,0.1527,1.4069,0.0946
4305,世坤塑膠股份有限公司,OTC,4305.TWO,2026-08-26,0.0697,0.256,-0.0105,0.0177,0.1533,0.0279,0.0262,0.1346,0.0287
4401,東隆興業股份有限公司,OTC,4401.TWO,2026-08-26,0.2022,0.3791,-0.0589,0.1349,-0.2042,0.1131,0.1534,-0.166,0.095
4402,郡都開發股份有限公司,OTC,4402.TWO,2026-08-26,-0.0639,0.9813,0.0383,-0.0901,-0.2953,-0.0505,-0.0154,-0.2757,0.007
4406,新昕纖維股份有限公司,OTC,4406.TWO,2026-08-26,0.029,0.1815,0.0044,0.0552,0.02,0.0551,0.0485,0.0121,0.0403
4413,飛寶企業股份有限公司,OTC,4413.TWO,2026-08-26,0.216,0.9407,-0.0639,0.1052,0.214,0.0915,0.0655,0.0781,0.0491
4416,三圓建設股份有限公司,OTC,4416.TWO,2026-08-26,0.044,1.3666,-0.0011,0.1492,-0.5159,0.1235,0.1848,-1.3523,0.1113
4417,金洲海洋科技股份有限公司,OTC,4417.TWO,2026-08-26,0.1117,0.4822,-0.0258,0.1048,-0.1188,0.0912,0.1377,-0.1012,0.0868
4419,皇家國際美食股份有限公司,OTC,4419.TWO,2026-08-26,0.0212,-0.0023,0.0073,-0.0627,0.234,-0.0306,-0.0222,0.0428,0.0034
4420,光明絲織廠股份有限公司,OTC,4420.TWO,2026-08-26,0.1587,-0.0728,-0.043,0.1421,-0.5938,0.1183,0.1348,-0.3946,0.0853
4430,耀億工業股份有限公司,OTC,4430.TWO,2026-08-26,0.1167,0.3707,-0.0276,0.0316,-0.0706,0.038,0.0331,-0.0615,0.0323
4432,銘旺實業股份有限公司,OTC,4432.TWO,2026-08-26,0.2376,-0.2079,-0.0718,0.1896,0.033,0.1529,0.1989,-0.1519,0.1187
4433,興采實業股份有限公司,OTC,4433.TWO,2026-08-26,0.0523,-0.2036,-0.0041,0.0798,-0.0766,0.073,0.1176,-0.1545,0.0763
